id,cargo,senioridade,setor,salario,regiao,empresa,modalidade,created_at,updated_at,ano,em_alta,area,especialidade
33,"Auxiliar de Manutenção Elétrica",NULL,"Construção Civil",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
34,"Montador Eletricista Auxiliar",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
35,"Ajudante de Eletricista",NULL,"Construção Civil",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
36,"AJUDANTE DE MONTADOR DE ANDAIMES",NULL,"Construção Civil",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
37,"Montador de Estruturas Metálicas",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
38,"Montador de Estruturas Metálicas",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
39,"Montador de Estrutura Metálica",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
40,"Montador de Estrutura Metálica",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
41,"Montador de Estrutura Metálica",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
42,"Montador de Estruturas Metálicas",NULL,"Construção Civil",2000.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
43,"Montador de Estruturas Metalicas",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
44,"Montador de Estrutura Metálica",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
45,"Montador de Estruturas Metálicas",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
46,"Técnico em Edificação",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
47,"Auxiliar Técnico em Edificações",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
48,"Técnico de Edificações",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
49,"Técnico em Edificações",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
50,"Técnico em Edificações",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
51,"Técnico em Edificações",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
52,"Técnico em Edificações",NULL,"Construção Civil",6501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
53,"Técnico em Edificações Júnior",jr,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
54,"Técnico de Edificações",NULL,"Construção Civil",2501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
55,"Técnico em Edificações",NULL,"Construção Civil",3501.00,SP,NULL,presencial,"2025-02-28 01:56:10","2025-02-28 01:56:10",2025,NULL,NULL,NULL
